,plate,fragment,location
240,95,72,/specific/hadar1/filesD/P95-Fg072-R-C01-R01-D07072015-T125141-LR445 _PSC.jpg
241,94,24,/specific/hadar1/filesD/P94-Fg024-R-C01-R01-D11062015-T083927-LR445 _PSC.jpg
242,94,23,/specific/hadar1/filesD/P94-Fg023-R-C01-R01-D10062015-T140847-LR445 _PSC.jpg
243,90,60,/specific/hadar1/filesD/P90-Fg060-R-C01-R01-D28042015-T104156-LR445 _PSC.jpg
244,69,55,/specific/hadar1/filesC/P69-Fg055-R-C02-R01-D27122015-T135540-LR445 _PSC.jpg
245,78,40,/specific/hadar1/filesD/P78-Fg040-R-C01-R01-D20072014-T121732-LR445 _PSC.jpg
246,70,81,/specific/hadar1/filesC/P70-Fg081-R-C01-R01-D11092016-T171323-LR445 _PSC.jpg
247,75,21,/specific/hadar1/filesC/P75-Fg021-R-C01-R01-D29072014-T152120-LR445 _PSC.jpg
248,82,17,/specific/hadar1/filesD/P82-Fg017-R-C01-R01-D07102013-T121215-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
249,93,58,/specific/hadar1/filesD/P93-Fg058-R-C01-R01-D27052015-T151926-LR445 _PSC.jpg
250,94,21,/specific/hadar1/filesD/P94-Fg021-R-C01-R01-D10062015-T135130-LR445 _PSC.jpg
251,94,8,/specific/hadar1/filesD/P94-Fg008-R-C01-R01-D10062015-T112820-LR445 _PSC.jpg
252,72,48,/specific/hadar1/filesC/P72-Fg048-R-C01-R01-D31082015-T111413-LR445 _PSC.jpg
253,70,2,/specific/hadar1/filesC/P70-Fg002-R-C01-R01-D06092016-T112145-LR445 _PSC.jpg
254,43,36,/specific/hadar1/filesC/P43-Fg036-R-C01-R01-D01122015-T140526-LR445 _PSC.jpg
255,70,75,/specific/hadar1/filesC/P70-Fg075-R-C01-R01-D11092016-T140700-LR445 _PSC.jpg
256,72,51,/specific/hadar1/filesC/P72-Fg051-R-C01-R01-D31082015-T113629-LR445 _PSC.jpg
257,8,81,/specific/hadar1/filesD/P8-Fg081-R-C01-R01-D29062015-T114945-LR445 _PSC.jpg
258,581,18,/specific/hadar1/filesC/P581-Fg018-R-C01-R01-D06022014-T143503-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
259,7,91,/specific/hadar1/filesC/P7-Fg091-R-C01-R01-D03042016-T123912-LR445 _PSC.jpg
260,92,1,/specific/hadar1/filesD/P92-Fg001-R-C01-R01-D06052015-T133901-LR445 _PSC.jpg
261,8,92,/specific/hadar1/filesD/P8-Fg092-R-C01-R01-D29062015-T140419-LR445 _PSC.jpg
262,91,36,/specific/hadar1/filesD/P91-Fg036-R-C01-R01-D29032015-T145200-LR445 _PSC.jpg
263,7,85,/specific/hadar1/filesC/P7-Fg085-R-C01-R01-D03042016-T111030-LR445 _PSC.jpg
264,76,50,/specific/hadar1/filesD/P76-Fg050-R-C01-R01-D06082014-T100358-LR445 _PSC.jpg
265,71,28,/specific/hadar1/filesC/P71-Fg028-R-C01-R01-D09092015-T121938-LR445 _PSC.jpg
266,82,87,/specific/hadar1/filesD/P82-Fg087-R-C01-R01-D15102013-T101802-LR445 _ColorCalData_IAA_Left_CC110304_110702.jpg
267,94,67,/specific/hadar1/filesD/P94-Fg067-R-C01-R01-D14062015-T123040-LR445 _PSC.jpg
268,74,55,/specific/hadar1/filesC/P74-Fg055-R-C01-R01-D09082015-T131305-LR445 _PSC.jpg
269,82,92,/specific/hadar1/filesD/P82-Fg092-R-C01-R01-D15102013-T110216-LR445 _ColorCalData_IAA_Left_CC110304_110702.jpg
270,91,66,/specific/hadar1/filesD/P91-Fg066-R-C01-R01-D31032015-T100923-LR445 _PSC.jpg
271,93,22,/specific/hadar1/filesD/P93-Fg022-R-C01-R01-D26052015-T150923-LR445 _PSC.jpg
272,91,79,/specific/hadar1/filesD/P91-Fg079-R-C01-R01-D31032015-T123727-LR445 _PSC.jpg
273,69,21,/specific/hadar1/filesC/P69-Fg021-R-C01-R01-D24122015-T100141-LR445 _PSC.jpg
274,73,11,/specific/hadar1/filesC/P73-Fg011-R-C01-R01-D20082015-T102250-LR445 _PSC.jpg
275,7,43,/specific/hadar1/filesC/P7-Fg043-R-C01-R01-D29032016-T152749-LR445 _PSC.jpg
276,43,89,/specific/hadar1/filesC/P43-Fg089-R-C01-R01-D06122015-T144940-LR445 _PSC.jpg
277,92,52,/specific/hadar1/filesD/P92-Fg052-R-C01-R01-D10052015-T111424-LR445 _PSC.jpg
278,95,82,/specific/hadar1/filesD/P95-Fg082-R-C01-R01-D07072015-T142031-LR445 _PSC.jpg
279,567,28,/specific/hadar1/filesC/P567-Fg028-R-C01-R01-D21052014-T094624-LR445 _PSC.jpg
280,96,25,/specific/hadar1/filesD/P96-Fg025-R-C01-R01-D11082015-T124356-LR445 _PSC.jpg
281,8,68,/specific/hadar1/filesD/P8-Fg068-R-C01-R01-D28062015-T145114-LR445 _PSC.jpg
282,7,68,/specific/hadar1/filesC/P7-Fg068-R-C01-R01-D30032016-T144833-LR445 _PSC.jpg
283,72,43,/specific/hadar1/filesC/P72-Fg043-R-C01-R01-D31082015-T102722-LR445 _PSC.jpg
284,96,6,/specific/hadar1/filesD/P96-Fg006-R-C01-R01-D10082015-T134332-LR445 _PSC.jpg
285,567,31,/specific/hadar1/filesC/P567-Fg031-R-C01-R01-D21052014-T102230-LR445 _PSC.jpg
286,96,55,/specific/hadar1/filesD/P96-Fg055-R-C01-R01-D12082015-T105112-LR445 _PSC.jpg
287,8,27,/specific/hadar1/filesD/P8-Fg027-R-C01-R01-D23062015-T124817-LR445 _PSC.jpg
288,69,49,/specific/hadar1/filesC/P69-Fg049-R-C02-R01-D27122015-T101839-LR445 _PSC.jpg
289,93,66,/specific/hadar1/filesD/P93-Fg066-R-C01-R01-D28052015-T093810-LR445 _PSC.jpg
290,70,63,/specific/hadar1/filesC/P70-Fg063-R-C01-R01-D11092016-T105552-LR445 _PSC.jpg
291,75,17,/specific/hadar1/filesC/P75-Fg017-R-C01-R01-D29072014-T144014-LR445 _PSC.jpg
292,94,64,/specific/hadar1/filesD/P94-Fg064-R-C01-R01-D14062015-T120600-LR445 _PSC.jpg
293,91,39,/specific/hadar1/filesD/P91-Fg039-R-C01-R01-D30032015-T123436-LR445 _PSC.jpg
294,96,44,/specific/hadar1/filesD/P96-Fg044-R-C01-R01-D12082015-T091628-LR445 _PSC.jpg
295,96,14,/specific/hadar1/filesD/P96-Fg014-R-C01-R01-D11082015-T103911-LR445 _PSC.jpg
296,95,51,/specific/hadar1/filesD/P95-Fg051-R-C03-R01-D07072015-T090251-LR445 _PSC.jpg
297,82,31,/specific/hadar1/filesD/P82-Fg031-R-C01-R01-D09102013-T101240-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
298,78,48,/specific/hadar1/filesD/P78-Fg048-R-C01-R01-D20072014-T132057-LR445 _PSC.jpg
299,90,1,/specific/hadar1/filesD/P90-Fg001-R-C01-R01-D26042015-T103536-LR445 _PSC.jpg
300,91,37,/specific/hadar1/filesD/P91-Fg037-R-C02-R01-D30032015-T111150-LR445 _PSC.jpg
301,95,54,/specific/hadar1/filesD/P95-Fg054-R-C03-R01-D07072015-T093212-LR445 _PSC.jpg
302,43,56,/specific/hadar1/filesC/P43-Fg056-R-C01-R01-D03122015-T120453-LR445 _PSC.jpg
303,82,4,/specific/hadar1/filesD/P82-Fg004-R-C01-R01-D07102013-T095433-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
304,94,77,/specific/hadar1/filesD/P94-Fg077-R-C01-R01-D14062015-T140312-LR445 _PSC.jpg
305,91,24,/specific/hadar1/filesD/P91-Fg024-R-C01-R01-D29032015-T130429-LR445 _PSC.jpg
306,92,46,/specific/hadar1/filesD/P92-Fg046-R-C01-R01-D07052015-T171821-LR445 _PSC.jpg
307,69,6,/specific/hadar1/filesC/P69-Fg006-R-C01-R01-D23122015-T135320-LR445 _PSC.jpg
308,92,27,/specific/hadar1/filesD/P92-Fg027-R-C01-R01-D07052015-T112159-LR445 _PSC.jpg
309,8,49,/specific/hadar1/filesD/P8-Fg049-R-C01-R01-D23062015-T162801-LR445 _PSC.jpg
310,95,8,/specific/hadar1/filesD/P95-Fg008-R-C01-R01-D05072015-T104828-LR445 _PSC.jpg
311,72,13,/specific/hadar1/filesC/P72-Fg013-R-C01-R01-D30082015-T111159-LR445 _PSC.jpg
312,91,41,/specific/hadar1/filesD/P91-Fg041-R-C01-R01-D30032015-T124920-LR445 _PSC.jpg
313,8,35,/specific/hadar1/filesD/P8-Fg035-R-C01-R01-D23062015-T140101-LR445 _PSC.jpg
314,82,59,/specific/hadar1/filesD/P82-Fg059-R-C01-R01-D13102013-T100019-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
315,92,12,/specific/hadar1/filesD/P92-Fg012-R-C01-R01-D07052015-T085224-LR445 _PSC.jpg
316,91,86,/specific/hadar1/filesD/P91-Fg086-R-C01-R01-D31032015-T133216-LR445 _PSC.jpg
317,68,8,/specific/hadar1/filesC/P68-Fg008-R-C01-R01-D06102015-T133545-LR445 _PSC.jpg
318,96,34,/specific/hadar1/filesD/P96-Fg034-R-C01-R01-D11082015-T135859-LR445 _PSC.jpg
319,90,26,/specific/hadar1/filesD/P90-Fg026-R-C01-R01-D26042015-T150143-LR445 _PSC.jpg
320,75,9,/specific/hadar1/filesC/P75-Fg009-R-C01-R01-D29072014-T133614-LR445 _PSC.jpg
321,70,40,/specific/hadar1/filesC/P70-Fg040-R-C01-R01-D08092016-T094541-LR445 _PSC.jpg
322,92,3,/specific/hadar1/filesD/P92-Fg003-R-C01-R01-D06052015-T135542-LR445 _PSC.jpg
323,93,37,/specific/hadar1/filesD/P93-Fg037-R-C01-R01-D27052015-T110202-LR445 _PSC.jpg
324,94,58,/specific/hadar1/filesD/P94-Fg058-R-C01-R01-D11062015-T145407-LR445 _PSC.jpg
325,7,3,/specific/hadar1/filesC/P7-Fg003-R-C01-R01-D28032016-T131215-LR445 _PSC.jpg
326,90,23,/specific/hadar1/filesD/P90-Fg023-R-C01-R01-D26042015-T142949-LR445 _PSC.jpg
327,74,26,/specific/hadar1/filesC/P74-Fg026-R-C01-R01-D06082015-T150150-LR445 _PSC.jpg
328,95,60,/specific/hadar1/filesD/P95-Fg060-R-C01-R01-D07072015-T103029-LR445 _PSC.jpg
329,90,20,/specific/hadar1/filesD/P90-Fg020-R-C01-R01-D26042015-T140423-LR445 _PSC.jpg
330,7,99,/specific/hadar1/filesC/P7-Fg099-R-C01-R01-D03042016-T135845-LR445 _PSC.jpg
331,73,26,/specific/hadar1/filesC/P73-Fg026-R-C01-R01-D20082015-T130209-LR445 _PSC.jpg
332,75,63,/specific/hadar1/filesD/P75-Fg063-R-C01-R01-D30072014-T152222-LR445 _PSC.jpg
333,71,24,/specific/hadar1/filesC/P71-Fg024-R-C01-R01-D09092015-T114430-LR445 _PSC.jpg
334,615,6,/specific/hadar1/filesC/P615-Fg006-R-C01-R01-D26112013-T105205-LR445 _ColorCalData_IAA_Left_CC110304_110702.jpg
335,96,56,/specific/hadar1/filesD/P96-Fg056-R-C01-R01-D12082015-T110356-LR445 _PSC.jpg
336,95,85,/specific/hadar1/filesD/P95-Fg085-R-C01-R01-D07072015-T145307-LR445 _PSC.jpg
337,94,72,/specific/hadar1/filesD/P94-Fg072-R-C01-R01-D14062015-T131524-LR445 _PSC.jpg
338,8,53,/specific/hadar1/filesD/P8-Fg053-R-C01-R01-D28062015-T095244-LR445 _PSC.jpg
339,94,75,/specific/hadar1/filesD/P94-Fg075-R-C01-R01-D14062015-T134517-LR445 _PSC.jpg
340,95,67,/specific/hadar1/filesD/P95-Fg067-R-C01-R01-D07072015-T121004-LR445 _PSC.jpg
341,69,54,/specific/hadar1/filesC/P69-Fg054-R-C02-R01-D27122015-T132324-LR445 _PSC.jpg
342,93,18,/specific/hadar1/filesD/P93-Fg018-R-C01-R01-D26052015-T143756-LR445 _PSC.jpg
343,95,93,/specific/hadar1/filesD/P95-Fg093-R-C01-R01-D08072015-T095658-LR445 _PSC.jpg
344,74,22,/specific/hadar1/filesC/P74-Fg022-R-C01-R01-D06082015-T143037-LR445 _PSC.jpg
345,68,17,/specific/hadar1/filesC/P68-Fg017-R-C01-R01-D06102015-T150404-LR445 _PSC.jpg
346,92,43,/specific/hadar1/filesD/P92-Fg043-R-C01-R01-D07052015-T165411-LR445 _PSC.jpg
347,95,105,/specific/hadar1/filesD/P95-Fg105-R-C01-R01-D08072015-T125632-LR445 _PSC.jpg
348,82,45,/specific/hadar1/filesD/P82-Fg045-R-C01-R01-D09102013-T132840-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
349,7,106,/specific/hadar1/filesC/P7-Fg106-R-C01-R01-D03042016-T153643-LR445 _PSC.jpg
350,70,37,/specific/hadar1/filesC/P70-Fg037-R-C01-R01-D08092016-T090931-LR445 _PSC.jpg
351,43,57,/specific/hadar1/filesC/P43-Fg057-R-C01-R01-D03122015-T121236-LR445 _PSC.jpg
352,82,91,/specific/hadar1/filesD/P82-Fg091-R-C01-R01-D15102013-T105334-LR445 _ColorCalData_IAA_Left_CC110304_110702.jpg
353,43,80,/specific/hadar1/filesC/P43-Fg080-R-C01-R01-D06122015-T133711-LR445 _PSC.jpg
354,615,5,/specific/hadar1/filesC/P615-Fg005-R-C01-R01-D26112013-T104220-LR445 _ColorCalData_IAA_Left_CC110304_110702.jpg
355,72,46,/specific/hadar1/filesC/P72-Fg046-R-C01-R01-D31082015-T105408-LR445 _PSC.jpg
356,96,63,/specific/hadar1/filesD/P96-Fg063-R-C01-R01-D12082015-T120633-LR445 _PSC.jpg
357,7,33,/specific/hadar1/filesC/P7-Fg033-R-C01-R01-D29032016-T125746-LR445 _PSC.jpg
358,82,79,/specific/hadar1/filesD/P82-Fg079-R-C01-R01-D13102013-T153237-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
359,79,55,/specific/hadar1/filesD/P79-Fg055-R-C01-R01-D24072014-T131711-LR445 _PSC.jpg
360,91,31,/specific/hadar1/filesD/P91-Fg031-R-C01-R01-D29032015-T141519-LR445 _PSC.jpg
361,79,58,/specific/hadar1/filesD/P79-Fg058-R-C01-R01-D24072014-T134136-LR445 _PSC.jpg
362,76,15,/specific/hadar1/filesD/P76-Fg015-R-C01-R01-D05082014-T113808-LR445 _PSC.jpg
363,70,48,/specific/hadar1/filesC/P70-Fg048-R-C01-R01-D08092016-T112155-LR445 _PSC.jpg
364,82,22,/specific/hadar1/filesD/P82-Fg022-R-C01-R01-D09102013-T084445-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
365,73,42,/specific/hadar1/filesC/P73-Fg042-R-C01-R01-D23082015-T092243-LR445 _PSC.jpg
366,69,47,/specific/hadar1/filesC/P69-Fg047-R-C02-R01-D27122015-T095931-LR445 _PSC.jpg
367,93,84,/specific/hadar1/filesD/P93-Fg084-R-C01-R01-D28052015-T141238-LR445 _PSC.jpg
368,43,34,/specific/hadar1/filesC/P43-Fg034-R-C01-R01-D01122015-T134831-LR445 _PSC.jpg
369,72,15,/specific/hadar1/filesC/P72-Fg015-R-C01-R01-D30082015-T112811-LR445 _PSC.jpg
370,78,31,/specific/hadar1/filesD/P78-Fg031-R-C01-R01-D20072014-T102043-LR445 _PSC.jpg
371,69,4,/specific/hadar1/filesC/P69-Fg004-R-C01-R01-D23122015-T133658-LR445 _PSC.jpg
372,68,4,/specific/hadar1/filesC/P68-Fg004-R-C01-R01-D06102015-T124838-LR445 _PSC.jpg
373,43,49,/specific/hadar1/filesC/P43-Fg049-R-C01-R01-D03122015-T110410-LR445 _PSC.jpg
374,7,21,/specific/hadar1/filesC/P7-Fg021-R-C01-R01-D29032016-T101712-LR445 _PSC.jpg
375,72,8,/specific/hadar1/filesC/P72-Fg008-R-C01-R01-D30082015-T103354-LR445 _PSC.jpg
376,8,73,/specific/hadar1/filesD/P8-Fg073-R-C01-R01-D28062015-T155004-LR445 _PSC.jpg
377,90,83,/specific/hadar1/filesD/P90-Fg083-R-C01-R01-D29042015-T095832-LR445 _PSC.jpg
378,94,20,/specific/hadar1/filesD/P94-Fg020-R-C01-R01-D10062015-T134415-LR445 _PSC.jpg
379,95,3,/specific/hadar1/filesD/P95-Fg003-R-C01-R01-D05072015-T095548-LR445 _PSC.jpg
380,75,35,/specific/hadar1/filesC/P75-Fg035-R-C01-R01-D30072014-T105706-LR445 _PSC.jpg
381,7,44,/specific/hadar1/filesC/P7-Fg044-R-C01-R01-D30032016-T092242-LR445 _PSC.jpg
382,70,64,/specific/hadar1/filesC/P70-Fg064-R-C01-R01-D11092016-T111356-LR445 _PSC.jpg
383,70,5,/specific/hadar1/filesC/P70-Fg005-R-C01-R01-D06092016-T134543-LR445 _PSC.jpg
384,82,35,/specific/hadar1/filesD/P82-Fg035-R-C01-R01-D09102013-T110506-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
385,7,66,/specific/hadar1/filesC/P7-Fg066-R-C01-R01-D30032016-T142735-LR445 _PSC.jpg
386,74,52,/specific/hadar1/filesC/P74-Fg052-R-C01-R01-D09082015-T125140-LR445 _PSC.jpg
387,92,16,/specific/hadar1/filesD/P92-Fg016-R-C01-R01-D07052015-T092408-LR445 _PSC.jpg
388,78,37,/specific/hadar1/filesD/P78-Fg037-R-C01-R01-D20072014-T112147-LR445 _PSC.jpg
389,43,54,/specific/hadar1/filesC/P43-Fg054-R-C01-R01-D03122015-T114732-LR445 _PSC.jpg
390,95,97,/specific/hadar1/filesD/P95-Fg097-R-C01-R01-D08072015-T102756-LR445 _PSC.jpg
391,75,23,/specific/hadar1/filesC/P75-Fg023-R-C01-R01-D29072014-T153623-LR445 _PSC.jpg
392,91,23,/specific/hadar1/filesD/P91-Fg023-R-C01-R01-D29032015-T125703-LR445 _PSC.jpg
393,92,54,/specific/hadar1/filesD/P92-Fg054-R-C01-R01-D10052015-T113741-LR445 _PSC.jpg
394,90,8,/specific/hadar1/filesD/P90-Fg008-R-C01-R01-D26042015-T113433-LR445 _PSC.jpg
395,92,11,/specific/hadar1/filesD/P92-Fg011-R-C01-R01-D06052015-T151956-LR445 _PSC.jpg
396,567,39,/specific/hadar1/filesC/P567-Fg039-R-C01-R01-D21052014-T123003-LR445 _PSC.jpg
397,68,68,/specific/hadar1/filesC/P68-Fg068-R-C01-R01-D08102015-T123731-LR445 _PSC.jpg
398,567,37,/specific/hadar1/filesC/P567-Fg037-R-C01-R01-D21052014-T122514-LR445 _PSC.jpg
399,71,26,/specific/hadar1/filesC/P71-Fg026-R-C01-R01-D09092015-T120235-LR445 _PSC.jpg
400,7,37,/specific/hadar1/filesC/P7-Fg037-R-C01-R01-D29032016-T133916-LR445 _PSC.jpg
401,96,81,/specific/hadar1/filesD/P96-Fg081-R-C01-R01-D12082015-T153245-LR445 _PSC.jpg
402,43,50,/specific/hadar1/filesC/P43-Fg050-R-C01-R01-D03122015-T111514-LR445 _PSC.jpg
403,8,26,/specific/hadar1/filesD/P8-Fg026-R-C01-R01-D23062015-T124012-LR445 _PSC.jpg
404,8,51,/specific/hadar1/filesD/P8-Fg051-R-C01-R01-D23062015-T164606-LR445 _PSC.jpg
405,75,27,/specific/hadar1/filesC/P75-Fg027-R-C01-R01-D30072014-T094011-LR445 _PSC.jpg
406,7,79,/specific/hadar1/filesC/P7-Fg079-R-C01-R01-D03042016-T100613-LR445 _PSC.jpg
407,75,45,/specific/hadar1/filesC/P75-Fg045-R-C01-R01-D30072014-T121213-LR445 _PSC.jpg
408,96,3,/specific/hadar1/filesD/P96-Fg003-R-C01-R01-D10082015-T132149-LR445 _PSC.jpg
409,70,79,/specific/hadar1/filesC/P70-Fg079-R-C01-R01-D11092016-T165624-LR445 _PSC.jpg
410,91,51,/specific/hadar1/filesD/P91-Fg051-R-C01-R01-D30032015-T144957-LR445 _PSC.jpg
411,8,29,/specific/hadar1/filesD/P8-Fg029-R-C01-R01-D23062015-T130525-LR445 _PSC.jpg
412,43,8,/specific/hadar1/filesC/P43-Fg008-R-C01-R01-D30112015-T134856-LR445 _PSC.jpg
413,75,55,/specific/hadar1/filesC/P75-Fg055-R-C01-R01-D30072014-T135051-LR445 _PSC.jpg
414,90,40,/specific/hadar1/filesD/P90-Fg040-R-C01-R01-D27042015-T103012-LR445 _PSC.jpg
415,78,5,/specific/hadar1/filesD/P78-Fg005-R-C01-R01-D17072014-T100826-LR445 _PSC.jpg
416,90,24,/specific/hadar1/filesD/P90-Fg024-R-C01-R01-D26042015-T143752-LR445 _PSC.jpg
417,43,39,/specific/hadar1/filesC/P43-Fg039-R-C01-R01-D01122015-T150835-LR445 _PSC.jpg
418,7,65,/specific/hadar1/filesC/P7-Fg065-R-C01-R01-D30032016-T133114-LR445 _PSC.jpg
419,79,67,/specific/hadar1/filesD/P79-Fg067-R-C01-R01-D24072014-T144930-LR445 _PSC.jpg
420,96,11,/specific/hadar1/filesD/P96-Fg011-R-C01-R01-D11082015-T101714-LR445 _PSC.jpg
421,94,50,/specific/hadar1/filesD/P94-Fg050-R-C01-R01-D11062015-T133301-LR445 _PSC.jpg
422,70,41,/specific/hadar1/filesC/P70-Fg041-R-C01-R01-D08092016-T095518-LR445 _PSC.jpg
423,71,9,/specific/hadar1/filesC/P71-Fg009-R-C01-R01-D09092015-T092143-LR445 _PSC.jpg
424,7,11,/specific/hadar1/filesC/P7-Fg011-R-C01-R01-D28032016-T142455-LR445 _PSC.jpg
425,95,25,/specific/hadar1/filesD/P95-Fg025-R-C01-R01-D05072015-T153250-LR445 _PSC.jpg
426,91,11,/specific/hadar1/filesD/P91-Fg011-R-C01-R01-D29032015-T105436-LR445 _PSC.jpg
427,8,85,/specific/hadar1/filesD/P8-Fg085-R-C01-R01-D29062015-T130129-LR445 _PSC.jpg
428,92,25,/specific/hadar1/filesD/P92-Fg025-R-C01-R01-D07052015-T110525-LR445 _PSC.jpg
429,79,59,/specific/hadar1/filesD/P79-Fg059-R-C01-R01-D24072014-T134901-LR445 _PSC.jpg
430,71,6,/specific/hadar1/filesC/P71-Fg006-R-C01-R01-D08092015-T145525-LR445 _PSC.jpg
431,7,12,/specific/hadar1/filesC/P7-Fg012-R-C01-R01-D28032016-T143242-LR445 _PSC.jpg
432,79,12,/specific/hadar1/filesD/P79-Fg012-R-C01-R01-D23072014-T134746-LR445 _PSC.jpg
433,96,10,/specific/hadar1/filesD/P96-Fg010-R-C01-R01-D11082015-T101001-LR445 _PSC.jpg
434,581,16,/specific/hadar1/filesC/P581-Fg016-R-C01-R01-D06022014-T141824-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
435,92,60,/specific/hadar1/filesD/P92-Fg060-R-C01-R01-D10052015-T122730-LR445 _PSC.jpg
436,93,60,/specific/hadar1/filesD/P93-Fg060-R-C01-R01-D27052015-T153459-LR445 _PSC.jpg
437,76,47,/specific/hadar1/filesD/P76-Fg047-R-C01-R01-D06082014-T093853-LR445 _PSC.jpg
438,93,68,/specific/hadar1/filesD/P93-Fg068-R-C01-R01-D28052015-T095343-LR445 _PSC.jpg
439,96,49,/specific/hadar1/filesD/P96-Fg049-R-C01-R01-D12082015-T095602-LR445 _PSC.jpg
440,567,26,/specific/hadar1/filesC/P567-Fg026-R-C01-R01-D21052014-T092005-LR445 _PSC.jpg
441,96,39,/specific/hadar1/filesD/P96-Fg039-R-C01-R01-D11082015-T143724-LR445 _PSC.jpg
442,93,51,/specific/hadar1/filesD/P93-Fg051-R-C01-R01-D27052015-T142739-LR445 _PSC.jpg
443,78,15,/specific/hadar1/filesD/P78-Fg015-R-C01-R01-D17072014-T115125-LR445 _PSC.jpg
444,82,32,/specific/hadar1/filesD/P82-Fg032-R-C01-R01-D09102013-T103456-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
445,581,19,/specific/hadar1/filesC/P581-Fg019-R-C01-R01-D06022014-T144116-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
446,92,32,/specific/hadar1/filesD/P92-Fg032-R-C01-R01-D07052015-T151525-LR445 _PSC.jpg
447,7,42,/specific/hadar1/filesC/P7-Fg042-R-C01-R01-D29032016-T151238-LR445 _PSC.jpg
448,91,59,/specific/hadar1/filesD/P91-Fg059-R-C01-R01-D31032015-T090737-LR445 _PSC.jpg
449,95,66,/specific/hadar1/filesD/P95-Fg066-R-C01-R01-D07072015-T120158-LR445 _PSC.jpg
450,79,36,/specific/hadar1/filesD/P79-Fg036-R-C01-R01-D24072014-T101929-LR445 _PSC.jpg
451,75,70,/specific/hadar1/filesD/P75-Fg070-R-C01-R01-D31072014-T093443-LR445 _PSC.jpg
452,68,72,/specific/hadar1/filesC/P68-Fg072-R-C01-R01-D08102015-T131110-LR445 _PSC.jpg
453,43,76,/specific/hadar1/filesC/P43-Fg076-R-C01-R01-D06122015-T121243-LR445 _PSC.jpg
454,82,34,/specific/hadar1/filesD/P82-Fg034-R-C01-R01-D09102013-T105628-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
455,82,19,/specific/hadar1/filesD/P82-Fg019-R-C01-R01-D07102013-T131703-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
456,7,87,/specific/hadar1/filesC/P7-Fg087-R-C01-R01-D03042016-T120149-LR445 _PSC.jpg
457,8,2,/specific/hadar1/filesD/P8-Fg002-R-C01-R01-D22062015-T095218-LR445 _PSC.jpg
458,7,36,/specific/hadar1/filesC/P7-Fg036-R-C01-R01-D29032016-T133040-LR445 _PSC.jpg
459,92,38,/specific/hadar1/filesD/P92-Fg038-R-C01-R01-D07052015-T160715-LR445 _PSC.jpg
460,96,48,/specific/hadar1/filesD/P96-Fg048-R-C01-R01-D12082015-T094854-LR445 _PSC.jpg
461,91,75,/specific/hadar1/filesD/P91-Fg075-R-C01-R01-D31032015-T111642-LR445 _PSC.jpg
462,43,9,/specific/hadar1/filesC/P43-Fg009-R-C01-R01-D07122015-T113145-LR445 _PSC.jpg
463,74,50,/specific/hadar1/filesC/P74-Fg050-R-C01-R01-D09082015-T123412-LR445 _PSC.jpg
464,95,58,/specific/hadar1/filesD/P95-Fg058-R-C01-R01-D07072015-T101535-LR445 _PSC.jpg
465,567,21,/specific/hadar1/filesC/P567-Fg021-R-C01-R01-D20052014-T151821-LR445 _PSC.jpg
466,82,13,/specific/hadar1/filesD/P82-Fg013-R-C01-R01-D07102013-T111812-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
467,92,18,/specific/hadar1/filesD/P92-Fg018-R-C01-R01-D07052015-T094040-LR445 _PSC.jpg
468,92,53,/specific/hadar1/filesD/P92-Fg053-R-C01-R01-D10052015-T112734-LR445 _PSC.jpg
469,43,48,/specific/hadar1/filesC/P43-Fg048-R-C01-R01-D01122015-T172237-LR445 _PSC.jpg
470,95,14,/specific/hadar1/filesD/P95-Fg014-R-C01-R01-D05072015-T124835-LR445 _PSC.jpg
471,75,20,/specific/hadar1/filesC/P75-Fg020-R-C01-R01-D29072014-T150119-LR445 _PSC.jpg
472,915,24,/specific/hadar1/filesD/P915-Fg024-R-C01-R01-D15102015-T111415-LR445 _PSC.jpg
473,74,56,/specific/hadar1/filesC/P74-Fg056-R-C01-R01-D09082015-T131959-LR445 _PSC.jpg
474,70,54,/specific/hadar1/filesC/P70-Fg054-R-C01-R01-D08092016-T125009-LR445 _PSC.jpg
475,613,9,/specific/hadar1/filesC/P613-Fg009-R-C01-R01-D20112013-T101232-LR445 _ColorCalData_IAA_Left_CC110304_110702.jpg
476,78,44,/specific/hadar1/filesD/P78-Fg044-R-C01-R01-D20072014-T125001-LR445 _PSC.jpg
477,72,28,/specific/hadar1/filesC/P72-Fg028-R-C01-R01-D30082015-T135935-LR445 _PSC.jpg
